Quarter,Tahun,GDP PPP,Household Consumption,IKK,Exchange Rate,Car Sales,Growth Retail,Motor Sales,Cement Consumption,Inflasi(QoQ),Growth Pendapatan(QoQ),Daya Beli
2,2012,4.885107893255577,2.9910969881853275,6.616961789375591,2.5362665294883024,13.395925527249524,142.87370705830142,4.253953066774084,7.111532631674592,0.9004196871422956,12.125452568062965,11.225032880920669
3,2012,2.849382450410523,5.5998704005088005,2.884615384615382,2.128103583833825,-1.1865795219227158,868.8231884648926,3.3016386711910313,1.3891775601639504,1.6788928382364054,-0.7472040136686711,-2.4260968519050765
4,2012,-2.4713470012433616,0.34364895035415466,-1.1045029736618497,1.4557590114604058,6.709339064101108,109.61475677505173,-14.999850371359587,14.181801652203056,0.773521755299383,-0.04385354475821159,-0.8173753000575946
1,2013,3.0710184781331034,1.784160323052671,0.3436426116838415,0.7014397789890501,-1.3027111195580003,828.4315212110388,-9.239112197628279,-12.345536775856008,2.4282234851280475,-2.097911331361959,-4.526134816490007
2,2013,4.800319958698842,2.3025346140419707,0.25684931506849074,0.9201998020282262,3.4066877022762996,135.40673511989704,18.155932080114688,4.9741571725156986,0.9007061536244415,10.73174409922353,9.831037945599089
3,2013,6.3420842618819915,7.349039560762786,-8.539709649871904,8.639884912808258,-0.015028259662186103,314.7744969822619,-1.9828288885457817,-3.634358671964113,4.077697636220815,4.507428229764407,0.42973059354359133
4,2013,-0.5644361850119131,0.768968381591188,8.776844070961724,9.02850995597915,5.106128530538092,76.50910225945128,-2.5067734012705665,19.506145408696423,0.7547687662961399,-1.2902989984648001,-2.04506776476094
2,2014,4.4945573558985705,1.7453807696411134,-1.6074450084602416,-1.8502531427011872,-4.530884228662922,110.2240187290136,9.066708039047649,5.024180134739312,0.570569862400009,9.759685475772134,9.189115613372126
3,2014,4.880399846151891,4.77083195369002,3.0094582975064488,1.202029418099743,-7.352280010331072,30.14974205430815,19.88191065400725,-4.962034068336714,1.6781628017000092,4.046331930696776,2.368169128996767
4,2014,-1.7863576405443733,3.3150663488987533,-2.754590984974956,4.163824166153631,-5.234048850663715,46.26789048449211,7.5004849898010875,20.401707698239342,4.485685430000009,-4.103609950523715,-8.589295380523724
1,2015,1.130049745423456,0.09882532590592492,0.3433476394849834,4.533302726547902,2.5396675515977787,804.0493321085257,-16.685063126136633,-17.422008968580553,-0.43015453120000574,0.8828373262040646,1.3129918574040704
2,2015,5.12311006378717,2.083584895366045,-4.790419161676653,2.504941466370386,-13.882710452497669,147.79323188979274,14.170013809153287,3.817163793176895,1.406453720000017,4.657822818556311,3.251369098556294
3,2015,4.278201100131374,4.800692282779504,-12.398921832884096,5.522800109461691,-1.6274105787856727,291.44842835813614,7.409908775997128,1.202035700288093,1.272965186500007,4.6609522997247055,3.387987113224699
4,2015,-1.7082034143135976,0.4615873326849708,10.256410256410255,-0.5846429392729531,4.0331953676993235,267.686202046233,-19.33862878452704,25.174094316554214,1.0910783872000103,-5.6638377282534975,-6.754916115453508
1,2016,-0.3500423379876935,1.1772194783163201,2.139534883720928,-1.7837052412969232,7.417305304275483,65.4622981452881,-25.211340567822084,-20.41462949839352,0.6103381279000114,5.769981086828302,5.159642958928291
2,2016,4.925041025593764,1.6902801791886055,3.551912568306016,-1.4966527053844383,-0.9248243507149432,111.6851076888916,0.5961049925569786,0.9097466334644492,0.44752687199999236,6.75147143964239,6.3039445676423975
3,2016,4.277882870245207,4.4550172747463055,-3.2541776605101167,-1.3895394689480411,-5.331128078482905,160.0015308001426,19.494330480519785,2.547485594628751,0.8913356964000085,3.0847972852355783,2.1934615888355697
4,2016,-0.3468060563759587,0.526785340699341,4.9090909090909145,0.9081272172529264,11.63523517773948,103.6828257043211,2.685318169134222,13.255358180380853,1.0332227635999904,0.8937708578831357,-0.13945190571685473
1,2017,1.0600914154020633,1.5643531157203308,5.285961871750429,0.7285343232595755,0.9279175629033118,10935.00124923479,-32.921665382123464,-13.89188342344121,1.1819905538000188,0.8958246748390593,-0.2861658789609596
2,2017,4.285758854408758,1.9612317764824063,0.7407407407407455,-0.3039567772414737,-11.810061917860596,113.33408199934885,7.251364144068264,-3.4917691919265343,1.1736654219000018,1.3917713674694403,0.21810594556943852
3,2017,4.080177506513323,4.211322725193393,1.1437908496731957,0.15203400912579856,8.450048372010876,289.7430632957193,39.222191040909294,29.483267812191965,0.28004079979999985,3.6393930896072466,3.359352289807247
4,2017,-0.3860064464089973,0.5510738416781024,2.100161550888537,1.5438594202413978,2.0213872468639016,104.34723946353355,0.4871431308679735,2.6085701286595717,0.9215111419999941,-4.780398757789352,-5.701909899789346
1,2018,0.622889024759762,1.4742884878085716,-3.797468354430389,0.2881656064037516,5.953443484192122,3432.871220971779,-12.195581440402224,-16.89805779012236,0.9926361079999878,7.281135240513216,6.288499132513229
2,2018,4.944100837733506,2.163305625719928,5.345394736842105,2.8043515252740407,-10.413620471799225,105.53047659787279,13.298888386035905,-8.960036619644473,0.9020402389999994,2.332265260412579,1.4302250214125798
3,2018,4.246138156262715,3.864433098454198,-4.449648711943785,4.648061924370029,15.809953367479544,1663.5560293731342,9.629864748099953,37.296206679499676,0.04944625199999233,3.1185070280343368,3.0690607760343442
4,2018,-1.12136244391626,0.6445530653488108,3.758169934640518,1.2306187775977566,-2.7496682971265622,113.30223129757648,-16.863438957696648,0.7784921723333393,1.174170687200004,-4.010486858708816,-5.18465754590882
1,2019,-0.3932344623725711,1.02678763254968,-2.0472440944881845,-4.369996124661725,-13.842817434863619,286.5438043976352,-27.422109090174946,-20.623920854091512,0.3500077184000143,3.9461959914829072,3.596188273082893
